Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,16,5,10,0.08042702418770176,1,3,True
INSTI,CAB,66,6,5,10,0.14823731809544927,1,3,True
INSTI,DTG,414,20,5,10,0.11338810320691872,1,3,True
NNRTI,DOR,132,14,5,10,0.24223453973778108,1,3,True
NNRTI,EFV,2700,25,5,10,0.2917422934093815,1,3,True
NNRTI,RPV,383,20,5,10,0.1881317790882818,1,3,True
NRTI,3TC,3323,21,5,10,0.28084926556813683,1,3,True
NRTI,ABC,3165,21,5,10,0.03727271111706351,1,3,True
NRTI,AZT,3344,21,5,10,0.30338207623171815,1,3,True
NRTI,TFV,2913,21,5,10,0.041300207996699305,1,3,True
PI,ATV,1898,31,5,10,0.16848044726606073,1,3,True
PI,DRV,1286,30,5,10,0.09106456678803074,1,3,True
PI,LPV,2299,31,5,10,0.12884093036640912,1,3,True
